email_thread_id,mailbox,channel_type,received_date,sender_domain_type,region,brand,product_category,sku_id,batch_lot_id,retailer_name,order_id,promotion_code,thread_length_messages,days_since_first_message,avg_response_latency_hours,max_response_latency_hours,sender_message_count_90d,attachment_count,attachment_size_mb_total,cc_recipient_count,reply_all_flag,sentiment_score,negative_word_count,urgency_keyword_count,taste_keyword_flag,packaging_keyword_flag,shelf_life_keyword_flag,allergen_keyword_flag,availability_keyword_flag,topic_primary,prior_complaints_count_sku_90d,prior_escalations_count_retailer_12m,batch_quality_deviation_flag,sku_recent_quality_hold_flag,retailer_tier,consumer_loyalty_tier,assigned_team,current_status,resolution_time_hours,resolution_touches_count,commercial_credit_issued_usd,escalated_flag,escalation_within_48h,hours_to_critical_event_or_censor
LUM-EML-000014,Trade/Retailer,Retailer Inquiry,2026-01-09,Retailer Corporate,Central Europe,GoldenCrust Bakery,Pastry - Ambient Cake,SKU-78399,LOT-862313,MegaMart,ORD-1887182,,3,7.9,19.4,23.6,2,0,0.0,3,N,-0.065,1,1,N,Y,N,N,N,Packaging Defect,2,6,N,Y,Gold,N/A,Trade Marketing & Key Accounts,Closed,48.5,5,0.0,N,0,49.0
LUM-EML-000015,Trade/Retailer,Retailer Inquiry,2025-09-06,Retailer Corporate,Western Europe,MorningRise Pastry,Pastry - Croissant,SKU-92855,LOT-800424,MegaMart,ORD-4599135,,3,1.7,44.6,94.1,2,0,0.0,3,N,0.172,1,1,N,Y,N,N,N,Packaging Defect,2,6,N,N,Platinum,N/A,Trade Marketing & Key Accounts,Escalated,,5,0.0,Y,0,49.0
LUM-EML-000016,Trade/Retailer,Retailer Inquiry,2025-09-10,Retailer Corporate,APAC,MorningRise Pastry,Pastry - Croissant,SKU-67366,LOT-245333,MegaMart,ORD-3964344,,3,1.3,6.7,10.4,2,0,0.0,3,N,-0.87,1,1,Y,N,N,N,N,Taste/Flavor,2,6,N,N,Gold,N/A,Trade Marketing & Key Accounts,Resolved,15.0,5,0.0,N,0,63.1
LUM-EML-000017,Supplier Relations,Supplier Notification,2025-12-28,Supplier Corporate,Central Europe,MorningRise Pastry,Pastry - Croissant,SKU-63639,LOT-842212,Not Applicable (Supplier),,,3,6.6,13.8,26.6,2,0,0.0,3,Y,-0.358,1,1,N,N,N,N,Y,Pricing/Promotion,2,0,N,N,N/A,N/A,Procurement & Supplier Mgmt,Resolved,18.2,5,0.0,N,0,50.7
LUM-EML-000018,Quality & Food Safety,Internal Escalation,2025-09-16,Consumer/Personal,Latin America,GoldenCrust Bakery,Pastry - Seasonal Specialty,SKU-74523,LOT-782087,Not Applicable (Internal),,,3,18.1,39.0,59.0,2,0,0.0,3,N,-0.557,1,1,Y,N,N,N,N,Taste/Flavor,2,0,N,Y,N/A,N/A,Quality Assurance & Food Safety,Open,,5,0.0,Y,1,37.3
LUM-EML-000019,Trade/Retailer,Retailer Inquiry,2026-08-13,Retailer Corporate,Western Europe,GoldenCrust Bakery,Pastry - Cookie,SKU-33237,LOT-148406,GreenBasket,ORD-4102157,,3,6.5,8.1,19.5,2,0,0.0,3,Y,0.404,1,1,N,N,Y,N,N,General Inquiry,2,6,N,N,Silver,N/A,Trade Marketing & Key Accounts,Escalated,,5,0.0,Y,0,69.9
LUM-EML-000020,Supplier Relations,Supplier Notification,2026-06-17,Supplier Corporate,APAC,GoldenCrust Bakery,Pastry - Seasonal Specialty,SKU-38951,LOT-457945,Not Applicable (Supplier),,PROMO-705,3,0.3,10.6,15.4,2,0,0.0,3,Y,1.0,1,1,N,N,N,N,N,Pricing/Promotion,2,0,N,N,N/A,N/A,Procurement & Supplier Mgmt,Resolved,23.0,5,0.0,N,0,88.4
LUM-EML-000021,Consumer Care,Consumer Complaint,2025-12-24,Consumer/Personal,Central Europe,BerryBurst,Juice,SKU-97690,LOT-696902,Not Applicable (Consumer),,PROMO-756,3,4.9,14.8,22.9,2,0,0.0,3,Y,-0.196,1,1,N,N,N,N,Y,Availability/Stock,2,0,N,N,N/A,Returning,Consumer Care Team,Resolved,33.8,5,0.0,N,0,54.2
LUM-EML-000022,Consumer Care,Consumer Complaint,2025-12-11,Consumer/Personal,Central Europe,SpringFizz,Sparkling Beverage,SKU-96765,LOT-653309,Not Applicable (Consumer),,,3,0.5,19.8,26.9,2,0,0.0,3,N,-0.62,1,1,N,N,N,N,N,Pricing/Promotion,2,0,N,N,N/A,New,Consumer Care Team,Closed,30.5,5,0.0,N,0,51.8
LUM-EML-000023,Trade/Retailer,Retailer Inquiry,2026-03-06,Retailer Corporate,North America,MorningRise Pastry,Pastry - Cookie,SKU-32559,LOT-916966,GreenBasket,ORD-2070837,,3,17.0,18.5,33.8,2,0,0.0,3,N,-0.241,1,1,N,N,N,N,Y,General Inquiry,2,6,Y,N,Gold,N/A,Trade Marketing & Key Accounts,Open,,5,0.0,N,0,49.9
LUM-EML-000024,Consumer Care,Consumer Complaint,2026-03-05,Consumer/Personal,Western Europe,GoldenCrust Bakery,Pastry - Seasonal Specialty,SKU-48121,LOT-246781,Not Applicable (Consumer),,PROMO-692,3,15.5,32.7,36.1,2,0,0.0,3,N,-0.44,1,1,N,N,Y,N,N,Shelf-Life,2,0,N,N,N/A,New,Consumer Care Team,Resolved,15.1,5,0.0,N,0,61.1
LUM-EML-000025,Consumer Care,Consumer Complaint,2026-01-14,Consumer/Personal,North America,BerryBurst,Juice,SKU-81258,LOT-636929,Not Applicable (Consumer),,,3,1.8,16.6,20.8,2,0,0.0,3,N,0.598,1,1,Y,N,N,N,N,Taste/Flavor,2,0,Y,N,N/A,New,Consumer Care Team,Escalated,,5,0.0,Y,0,80.9
LUM-EML-000026,Trade/Retailer,Retailer Inquiry,2025-09-11,Retailer Corporate,Western Europe,GoldenCrust Bakery,Pastry - Cookie,SKU-70416,LOT-673042,FreshCo Retail,ORD-9167291,,3,0.8,5.8,9.3,2,0,0.0,3,N,-0.203,1,1,N,N,N,N,N,General Inquiry,2,6,N,N,Bronze,N/A,Trade Marketing & Key Accounts,Closed,37.2,5,0.0,Y,1,48.0
LUM-EML-000027,Trade/Retailer,Retailer Inquiry,2026-02-02,Retailer Corporate,Central Europe,BerryBurst,Sparkling Beverage,SKU-29199,LOT-892701,ValueStop,ORD-8916271,,3,4.3,36.4,,2,0,0.0,3,N,-0.081,1,1,N,N,N,N,N,General Inquiry,2,6,N,N,Silver,N/A,Trade Marketing & Key Accounts,Closed,24.4,5,451.3,N,0,51.5
LUM-EML-000028,Supplier Relations,Supplier Notification,2026-07-31,Supplier Corporate,North America,CitrusPeak,Juice,SKU-55502,LOT-541528,Not Applicable (Supplier),,,3,0.1,47.4,109.7,2,0,0.0,3,N,0.194,1,1,N,N,N,N,Y,Availability/Stock,2,0,N,N,N/A,N/A,Procurement & Supplier Mgmt,Resolved,46.1,5,0.0,N,0,49.0
LUM-EML-000029,Trade/Retailer,Retailer Inquiry,2025-12-20,Retailer Corporate,North America,CitrusPeak,Juice,SKU-80113,LOT-694951,GreenBasket,ORD-3147954,,3,4.3,36.9,58.5,2,0,0.0,3,N,0.143,1,1,N,N,N,N,N,Pricing/Promotion,2,6,N,N,Platinum,N/A,Trade Marketing & Key Accounts,Open,,5,2152.86,N,0,58.0
LUM-EML-000030,Trade/Retailer,Retailer Inquiry,2026-01-10,Retailer Corporate,Western Europe,PureWave,Still Beverage,SKU-48151,LOT-726100,Coastal Grocers,ORD-5923611,,3,2.7,2.5,6.0,2,0,0.0,3,Y,-0.05,1,1,Y,N,Y,N,N,Shelf-Life,2,6,N,N,Bronze,N/A,Trade Marketing & Key Accounts,Open,,5,1328.54,N,0,80.8
LUM-EML-000031,Trade/Retailer,Retailer Inquiry,2025-09-25,Retailer Corporate,Latin America,PureWave,Still Beverage,SKU-34285,LOT-716552,ValueStop,ORD-7455276,,3,4.9,33.1,85.0,2,0,0.0,3,Y,-0.282,1,1,N,N,N,N,N,Delivery/Logistics,2,6,N,N,Platinum,N/A,Trade Marketing & Key Accounts,Resolved,16.7,5,0.0,N,1,44.2
LUM-EML-000032,Consumer Care,Consumer Complaint,2026-04-16,Consumer/Personal,Western Europe,GoldenCrust Bakery,Pastry - Cookie,SKU-29080,LOT-343502,Not Applicable (Consumer),,,3,3.0,36.4,75.5,2,0,0.0,3,Y,-0.062,1,1,Y,N,N,N,N,Taste/Flavor,2,0,N,N,N/A,Returning,Consumer Care Team,Resolved,12.0,5,0.0,N,0,56.5
LUM-EML-000033,Consumer Care,Consumer Complaint,2026-05-26,Consumer/Personal,Latin America,GoldenCrust Bakery,Pastry - Seasonal Specialty,SKU-68727,LOT-648004,Not Applicable (Consumer),,PROMO-187,3,1.3,21.2,39.0,2,0,0.0,3,N,-0.429,1,1,N,N,Y,N,N,Shelf-Life,2,0,N,N,N/A,VIP,Consumer Care Team,Open,,5,0.0,N,0,59.4
LUM-EML-000034,Consumer Care,Consumer Complaint,2026-07-01,Consumer/Personal,Western Europe,GoldenCrust Bakery,Pastry - Cookie,SKU-97535,LOT-471592,Not Applicable (Consumer),,PROMO-163,3,2.0,6.8,9.3,2,0,0.0,3,Y,0.123,1,1,Y,N,N,N,N,Taste/Flavor,2,0,N,N,N/A,New,Consumer Care Team,Resolved,6.2,5,0.0,N,0,92.0
LUM-EML-000035,Quality & Food Safety,Internal Escalation,2026-03-31,Consumer/Personal,Central Europe,CitrusPeak,Sparkling Beverage,SKU-35844,LOT-889075,Not Applicable (Internal),,,3,8.9,8.1,20.0,2,0,0.0,3,N,-0.068,1,1,N,N,N,N,N,Delivery/Logistics,2,0,N,N,N/A,N/A,Quality Assurance & Food Safety,Escalated,,5,0.0,Y,0,79.4
LUM-EML-000036,Consumer Care,Consumer Complaint,2026-05-06,Consumer/Personal,Western Europe,AquaLuna,Still Beverage,SKU-68431,LOT-777498,Not Applicable (Consumer),,PROMO-670,3,10.0,17.3,32.1,2,0,0.0,3,N,-0.039,1,1,N,N,Y,N,N,Shelf-Life,2,0,N,N,N/A,New,Consumer Care Team,In Progress,,5,0.0,N,0,49.5
LUM-EML-000037,Consumer Care,Consumer Complaint,2026-05-19,Consumer/Personal,North America,AquaLuna,Functional Water,SKU-41283,LOT-498566,Not Applicable (Consumer),,,3,1.3,1.4,2.7,2,0,0.0,3,Y,0.117,1,1,N,N,N,N,N,General Inquiry,2,0,N,N,N/A,New,Consumer Care Team,Escalated,,5,0.0,Y,0,79.6
LUM-EML-000038,Consumer Care,Consumer Complaint,2026-01-15,Consumer/Personal,Latin America,MorningRise Pastry,Pastry - Cookie,SKU-81532,LOT-773150,Not Applicable (Consumer),,,3,1.0,7.9,15.6,2,0,0.0,3,N,0.102,1,1,N,N,N,N,N,Delivery/Logistics,2,0,N,N,N/A,New,Consumer Care Team,Closed,38.2,5,0.0,N,0,60.5
LUM-EML-000039,Quality & Food Safety,Internal Escalation,2026-02-04,Retailer Corporate,Western Europe,CitrusPeak,Juice,SKU-50888,LOT-163758,Not Applicable (Internal),,PROMO-484,3,10.3,12.4,24.6,2,0,0.0,3,N,0.662,1,1,N,N,N,N,N,General Inquiry,2,0,N,N,N/A,N/A,Quality Assurance & Food Safety,Resolved,27.4,5,0.0,N,0,68.9
LUM-EML-000040,Consumer Care,Consumer Complaint,2026-05-31,Consumer/Personal,Latin America,GoldenCrust Bakery,Pastry - Ambient Cake,SKU-60346,LOT-765194,Not Applicable (Consumer),,PROMO-525,3,1.0,28.4,61.3,2,0,0.0,3,Y,-0.047,1,1,N,N,N,N,N,Pricing/Promotion,2,0,N,N,N/A,New,Consumer Care Team,Resolved,36.4,5,0.0,N,0,63.6
LUM-EML-000041,Consumer Care,Consumer Complaint,2026-07-26,Consumer/Personal,Latin America,MorningRise Pastry,Pastry - Croissant,SKU-45447,LOT-965802,Not Applicable (Consumer),,,3,3.8,4.5,8.1,2,0,0.0,3,N,-0.322,1,1,N,Y,N,N,N,Packaging Defect,2,0,N,N,N/A,New,Consumer Care Team,Resolved,20.8,5,0.0,N,0,62.2
LUM-EML-000042,Supplier Relations,Supplier Notification,2026-04-11,Supplier Corporate,Latin America,GoldenCrust Bakery,Pastry - Cookie,SKU-40442,LOT-179695,Not Applicable (Supplier),,PROMO-503,3,1.1,39.3,84.8,2,0,0.0,3,N,-0.229,1,1,N,N,N,N,N,Delivery/Logistics,2,0,N,N,N/A,N/A,Procurement & Supplier Mgmt,Escalated,,5,0.0,Y,1,34.0
LUM-EML-000043,Trade/Retailer,Retailer Inquiry,2026-01-31,Retailer Corporate,Western Europe,CitrusPeak,Sparkling Beverage,SKU-49466,LOT-920626,MegaMart,ORD-7023119,,3,2.6,24.3,42.1,2,0,0.0,3,N,-0.426,1,1,N,N,N,N,N,General Inquiry,2,6,N,N,Bronze,N/A,Trade Marketing & Key Accounts,In Progress,,5,499.37,N,0,49.0
LUM-EML-000044,Quality & Food Safety,Internal Escalation,2026-05-31,Retailer Corporate,North America,MorningRise Pastry,Pastry - Croissant,SKU-59151,LOT-988079,Not Applicable (Internal),,PROMO-910,3,1.4,15.5,39.6,2,0,0.0,3,Y,-0.204,1,1,N,N,N,N,Y,Availability/Stock,2,0,N,N,N/A,N/A,Quality Assurance & Food Safety,In Progress,,5,0.0,N,0,52.9
LUM-EML-000045,Trade/Retailer,Retailer Inquiry,2026-06-02,Retailer Corporate,North America,PureWave,Functional Water,SKU-56413,LOT-493262,FreshCo Retail,ORD-2261943,,3,4.6,16.1,28.8,2,0,0.0,3,N,-0.347,1,1,Y,N,N,N,N,Taste/Flavor,2,6,N,N,Platinum,N/A,Trade Marketing & Key Accounts,Closed,48.2,5,1007.61,Y,1,48.0
LUM-EML-000046,Quality & Food Safety,Internal Escalation,2026-08-14,Retailer Corporate,Western Europe,PureWave,Functional Water,SKU-66018,LOT-524825,Not Applicable (Internal),,,3,0.7,55.9,79.9,2,0,0.0,3,N,0.354,1,1,N,Y,N,N,N,Packaging Defect,2,0,N,N,N/A,N/A,Quality Assurance & Food Safety,In Progress,,5,0.0,N,0,64.1
LUM-EML-000047,Consumer Care,Consumer Complaint,2025-09-12,Consumer/Personal,Central Europe,PureWave,Functional Water,SKU-67661,LOT-577033,Not Applicable (Consumer),,,3,0.7,1.8,2.1,2,0,0.0,3,N,-1.0,1,1,N,N,Y,N,N,Shelf-Life,2,0,Y,N,N/A,VIP,Consumer Care Team,Open,,5,0.0,N,0,74.2
LUM-EML-000048,Trade/Retailer,Retailer Inquiry,2025-10-22,Retailer Corporate,Latin America,GoldenCrust Bakery,Pastry - Seasonal Specialty,SKU-42142,LOT-447363,Coastal Grocers,ORD-4017684,,3,0.8,16.2,23.4,2,0,0.0,3,N,-0.46,1,1,Y,N,N,Y,N,Taste/Flavor,2,6,N,N,Silver,N/A,Trade Marketing & Key Accounts,In Progress,,5,0.0,N,0,61.6
LUM-EML-000049,Trade/Retailer,Retailer Inquiry,2026-02-27,Retailer Corporate,APAC,MorningRise Pastry,Pastry - Croissant,SKU-31238,LOT-528291,ValueStop,ORD-7710755,PROMO-290,3,0.3,13.4,18.7,2,0,0.0,3,N,0.922,1,1,N,N,Y,N,N,Shelf-Life,2,6,N,N,Platinum,N/A,Trade Marketing & Key Accounts,Resolved,24.4,5,1051.62,N,0,80.7
LUM-EML-000050,Supplier Relations,Supplier Notification,2025-11-27,Supplier Corporate,Latin America,GoldenCrust Bakery,Pastry - Ambient Cake,SKU-13571,LOT-440368,Not Applicable (Supplier),,,3,3.3,17.3,31.8,2,0,0.0,3,Y,-0.463,1,1,N,N,N,N,N,Pricing/Promotion,2,0,N,N,N/A,N/A,Procurement & Supplier Mgmt,Resolved,29.1,5,0.0,Y,1,48.0
LUM-EML-000051,Consumer Care,Consumer Complaint,2025-11-03,Consumer/Personal,Central Europe,BerryBurst,Sparkling Beverage,SKU-49168,LOT-751234,Not Applicable (Consumer),,,3,4.7,10.5,22.0,2,0,0.0,3,Y,-0.141,1,1,N,N,N,N,N,Delivery/Logistics,2,0,N,N,N/A,Returning,Consumer Care Team,Resolved,35.0,5,0.0,N,0,50.7
LUM-EML-000052,Trade/Retailer,Retailer Inquiry,2026-06-12,Retailer Corporate,North America,CitrusPeak,Juice,SKU-88082,LOT-675798,ValueStop,ORD-6321277,,3,4.0,43.0,66.3,2,0,0.0,3,N,-0.046,1,1,N,N,N,N,Y,Delivery/Logistics,2,6,N,N,Bronze,N/A,Trade Marketing & Key Accounts,In Progress,,5,0.0,N,0,49.0
LUM-EML-000053,Consumer Care,Consumer Complaint,2026-06-23,Consumer/Personal,Central Europe,PureWave,Still Beverage,SKU-81589,LOT-187206,Not Applicable (Consumer),,,3,1.8,11.5,13.4,2,0,0.0,3,N,-0.352,1,1,N,Y,N,N,N,Packaging Defect,2,0,N,N,N/A,VIP,Consumer Care Team,Resolved,17.6,5,0.0,N,0,72.8
LUM-EML-000054,Consumer Care,Consumer Complaint,2026-07-26,Consumer/Personal,North America,CitrusPeak,Juice,SKU-38996,LOT-844327,Not Applicable (Consumer),,,3,2.5,6.2,9.6,2,0,0.0,3,Y,-0.118,1,1,Y,N,N,N,Y,Taste/Flavor,2,0,Y,N,N/A,Returning,Consumer Care Team,Escalated,,5,0.0,Y,0,74.3
LUM-EML-000055,Consumer Care,Consumer Complaint,2026-06-06,Consumer/Personal,Latin America,BerryBurst,Juice,SKU-53065,LOT-825258,Not Applicable (Consumer),,,3,4.2,13.1,17.5,2,0,0.0,3,N,-0.272,1,1,Y,N,N,N,N,Taste/Flavor,2,0,N,N,N/A,New,Consumer Care Team,Escalated,,5,0.0,Y,0,54.9
LUM-EML-000056,Consumer Care,Consumer Complaint,2026-05-31,Consumer/Personal,North America,CitrusPeak,Juice,SKU-94255,LOT-132568,Not Applicable (Consumer),,,3,2.4,53.0,95.1,2,0,0.0,3,N,-0.438,1,1,N,N,N,N,N,Delivery/Logistics,2,0,N,N,N/A,Returning,Consumer Care Team,Open,,5,0.0,Y,1,48.0
LUM-EML-000057,Quality & Food Safety,Internal Escalation,2026-01-07,Retailer Corporate,Western Europe,MorningRise Pastry,Pastry - Croissant,SKU-28679,LOT-416950,Not Applicable (Internal),,,3,4.5,10.6,12.7,2,0,0.0,3,Y,-0.826,1,1,N,N,N,N,N,Delivery/Logistics,2,0,N,N,N/A,N/A,Quality Assurance & Food Safety,Closed,6.1,5,0.0,N,1,48.0
LUM-EML-000058,Consumer Care,Consumer Complaint,2026-07-14,Consumer/Personal,North America,MorningRise Pastry,Pastry - Seasonal Specialty,SKU-88557,LOT-765799,Not Applicable (Consumer),,,3,0.7,51.9,105.7,2,0,0.0,3,N,0.635,1,1,N,Y,N,N,N,Packaging Defect,2,0,N,N,N/A,Returning,Consumer Care Team,In Progress,,5,0.0,N,0,49.0
LUM-EML-000059,Supplier Relations,Supplier Notification,2026-02-02,Supplier Corporate,North America,GoldenCrust Bakery,Pastry - Ambient Cake,SKU-34785,LOT-309608,Not Applicable (Supplier),,,3,0.7,10.2,24.3,2,0,0.0,3,N,0.24,1,1,N,N,N,N,N,Delivery/Logistics,2,0,N,N,N/A,N/A,Procurement & Supplier Mgmt,Resolved,41.0,5,0.0,N,0,63.5
LUM-EML-000060,Trade/Retailer,Retailer Inquiry,2026-01-28,Retailer Corporate,Latin America,GoldenCrust Bakery,Pastry - Cookie,SKU-92878,LOT-635440,MegaMart,ORD-6049773,,3,3.5,16.4,32.4,2,0,0.0,3,N,0.24,1,1,N,N,N,N,N,General Inquiry,2,6,N,N,Gold,N/A,Trade Marketing & Key Accounts,In Progress,,5,0.0,N,0,49.0
LUM-EML-000061,Trade/Retailer,Retailer Inquiry,2025-09-28,Retailer Corporate,North America,CitrusPeak,Juice,SKU-94564,LOT-198797,GreenBasket,ORD-2580010,,3,4.5,12.6,16.6,2,0,0.0,3,N,-0.087,1,1,N,N,N,N,Y,Availability/Stock,2,6,N,N,Gold,N/A,Trade Marketing & Key Accounts,In Progress,,5,0.0,N,0,69.2
LUM-EML-000062,Trade/Retailer,Retailer Inquiry,2026-07-22,Retailer Corporate,Western Europe,GoldenCrust Bakery,Pastry - Ambient Cake,SKU-15293,LOT-433132,ValueStop,ORD-9043991,,3,1.5,18.2,31.3,2,0,0.0,3,N,0.168,1,1,Y,N,N,N,N,Taste/Flavor,2,6,N,N,Silver,N/A,Trade Marketing & Key Accounts,In Progress,,5,0.0,N,0,64.1
LUM-EML-000063,Quality & Food Safety,Internal Escalation,2026-07-27,Consumer/Personal,North America,MorningRise Pastry,Pastry - Seasonal Specialty,SKU-39844,LOT-602212,Not Applicable (Internal),,,3,1.8,6.3,11.1,2,0,0.0,3,N,-0.202,1,1,N,Y,N,N,N,Packaging Defect,2,0,N,N,N/A,N/A,Quality Assurance & Food Safety,Resolved,80.1,5,0.0,N,0,67.6
LUM-EML-000064,Consumer Care,Consumer Complaint,2025-12-16,Consumer/Personal,APAC,MorningRise Pastry,Pastry - Seasonal Specialty,SKU-62518,LOT-384079,Not Applicable (Consumer),,,3,1.3,10.8,21.1,2,0,0.0,3,N,-0.304,1,1,N,N,N,N,N,Pricing/Promotion,2,0,N,N,N/A,Returning,Consumer Care Team,Open,,5,0.0,N,0,58.5
LUM-EML-000065,Trade/Retailer,Retailer Inquiry,2025-11-11,Retailer Corporate,APAC,AquaLuna,Still Beverage,SKU-66675,LOT-210747,MegaMart,ORD-3500730,PROMO-865,3,0.3,24.8,46.0,2,0,0.0,3,N,-0.324,1,1,N,N,N,N,N,Delivery/Logistics,2,6,N,N,Gold,N/A,Trade Marketing & Key Accounts,Closed,6.0,5,0.0,Y,1,27.3
LUM-EML-000066,Consumer Care,Consumer Complaint,2026-04-30,Consumer/Personal,Western Europe,GoldenCrust Bakery,Pastry - Ambient Cake,SKU-78978,LOT-137518,Not Applicable (Consumer),,,3,1.0,85.0,212.0,2,0,0.0,3,N,0.18,1,1,Y,N,N,N,N,Taste/Flavor,2,0,N,N,N/A,VIP,Consumer Care Team,In Progress,,5,0.0,N,0,49.0
